t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,2.701999999999999957e+01,3.000000000000000000e+01
1.000000000000000000e+00,8.563337280261991680e+01,2.701999999999999957e+01,3.000000000000000000e+01
2.000000000000000000e+00,8.504970136061274388e+01,2.701999999999999957e+01,3.000000000000000000e+01
3.000000000000000000e+00,8.613472986544529419e+01,2.701999999999999957e+01,3.000000000000000000e+01
4.000000000000000000e+00,8.699869435989027977e+01,2.712000000000000099e+01,3.000000000000000000e+01
5.000000000000000000e+00,8.760981369164289845e+01,2.733999999999999986e+01,3.000000000000000000e+01
6.000000000000000000e+00,8.853353817437786688e+01,2.744000000000000128e+01,3.000000000000000000e+01
7.000000000000000000e+00,8.910679541362218004e+01,2.767000000000000171e+01,3.000000000000000000e+01
8.000000000000000000e+00,8.956501302164294032e+01,2.796000000000000085e+01,3.000000000000000000e+01
9.000000000000000000e+00,9.043414894054744479e+01,2.807999999999999829e+01,3.000000000000000000e+01
1.000000000000000000e+01,9.098280400861527539e+01,2.830999999999999872e+01,3.000000000000000000e+01
1.100000000000000000e+01,9.133833476959391362e+01,2.862999999999999901e+01,3.000000000000000000e+01
1.200000000000000000e+01,9.168897966239862285e+01,2.896000000000000085e+01,3.000000000000000000e+01
1.300000000000000000e+01,9.205682764056673761e+01,2.928000000000000114e+01,3.000000000000000000e+01
1.400000000000000000e+01,9.241013937979364812e+01,2.960000000000000142e+01,3.000000000000000000e+01
1.500000000000000000e+01,9.275146994181700677e+01,2.992000000000000171e+01,3.000000000000000000e+01
1.600000000000000000e+01,9.308116249251578722e+01,3.023999999999999844e+01,3.000000000000000000e+01
1.700000000000000000e+01,9.337578097767718077e+01,3.057000000000000028e+01,3.000000000000000000e+01
1.800000000000000000e+01,9.368562548007956536e+01,3.089000000000000057e+01,3.000000000000000000e+01
1.900000000000000000e+01,9.398137051183768165e+01,3.121000000000000085e+01,3.000000000000000000e+01
2.000000000000000000e+01,9.426576765842577288e+01,3.153000000000000114e+01,3.000000000000000000e+01
2.100000000000000000e+01,9.451557934500259250e+01,3.185999999999999943e+01,3.000000000000000000e+01
2.200000000000000000e+01,9.478111431787550600e+01,3.217999999999999972e+01,3.000000000000000000e+01
2.300000000000000000e+01,9.503303958193951928e+01,3.250000000000000000e+01,3.000000000000000000e+01
2.400000000000000000e+01,9.520333739848277332e+01,3.285000000000000142e+01,3.000000000000000000e+01
2.500000000000000000e+01,9.541926549721222273e+01,3.317999999999999972e+01,3.000000000000000000e+01
2.600000000000000000e+01,9.526537294484407425e+01,3.365999999999999659e+01,3.000000000000000000e+01
2.700000000000000000e+01,9.528701503192156963e+01,3.407999999999999829e+01,3.000000000000000000e+01
2.800000000000000000e+01,9.544726216620514947e+01,3.442999999999999972e+01,3.000000000000000000e+01
2.900000000000000000e+01,9.562089563031361195e+01,3.475999999999999801e+01,3.000000000000000000e+01
3.000000000000000000e+01,9.579971962693167598e+01,3.507999999999999829e+01,3.000000000000000000e+01
3.100000000000000000e+01,9.596482990605798591e+01,3.539999999999999858e+01,3.000000000000000000e+01
3.200000000000000000e+01,9.611985113517734192e+01,3.571999999999999886e+01,3.000000000000000000e+01
3.300000000000000000e+01,9.626518532465460964e+01,3.603999999999999915e+01,3.000000000000000000e+01
3.400000000000000000e+01,9.647171638280643435e+01,3.632999999999999829e+01,3.000000000000000000e+01
3.500000000000000000e+01,9.649469061434157879e+01,3.668999999999999773e+01,3.000000000000000000e+01
3.600000000000000000e+01,9.683551711486177282e+01,3.692000000000000171e+01,3.000000000000000000e+01
3.700000000000000000e+01,9.698784409978911469e+01,3.721000000000000085e+01,3.000000000000000000e+01
3.800000000000000000e+01,9.707616783417425665e+01,3.753000000000000114e+01,3.000000000000000000e+01
3.900000000000000000e+01,9.740202013058464559e+01,3.775000000000000000e+01,3.000000000000000000e+01
4.000000000000000000e+01,9.735962465689590317e+01,3.810999999999999943e+01,3.000000000000000000e+01
4.100000000000000000e+01,9.706604169019543349e+01,3.859000000000000341e+01,3.000000000000000000e+01
4.200000000000000000e+01,9.717989820891023101e+01,3.890999999999999659e+01,3.000000000000000000e+01
4.300000000000000000e+01,9.714390793694383319e+01,3.927000000000000313e+01,3.000000000000000000e+01
4.400000000000000000e+01,9.720154344919234291e+01,3.959000000000000341e+01,3.000000000000000000e+01
4.500000000000000000e+01,9.723874100926384756e+01,3.990999999999999659e+01,3.000000000000000000e+01
4.600000000000000000e+01,9.726639698366609821e+01,4.022999999999999687e+01,3.000000000000000000e+01
4.700000000000000000e+01,9.726193086784992659e+01,4.056000000000000227e+01,3.000000000000000000e+01
4.800000000000000000e+01,9.751153416200679658e+01,4.078000000000000114e+01,3.000000000000000000e+01
4.900000000000000000e+01,9.738980602496461358e+01,4.114000000000000057e+01,3.000000000000000000e+01
5.000000000000000000e+01,9.732389443254891148e+01,4.149000000000000199e+01,3.000000000000000000e+01
5.100000000000000000e+01,9.722618026452704498e+01,4.185000000000000142e+01,3.000000000000000000e+01
5.200000000000000000e+01,9.721730896244363862e+01,4.217000000000000171e+01,3.000000000000000000e+01
5.300000000000000000e+01,9.725888179449671611e+01,4.246000000000000085e+01,3.000000000000000000e+01
5.400000000000000000e+01,9.744757134648847341e+01,4.267999999999999972e+01,3.000000000000000000e+01
5.500000000000000000e+01,9.774848064702563022e+01,4.284000000000000341e+01,3.000000000000000000e+01
5.600000000000000000e+01,9.762214310726814404e+01,4.317000000000000171e+01,3.000000000000000000e+01
5.700000000000000000e+01,9.732725510209066044e+01,4.359000000000000341e+01,3.000000000000000000e+01
5.800000000000000000e+01,9.729177894683540728e+01,4.390999999999999659e+01,3.000000000000000000e+01
5.900000000000000000e+01,9.745592168535311828e+01,4.413000000000000256e+01,3.000000000000000000e+01
6.000000000000000000e+01,9.741497896583699401e+01,4.442000000000000171e+01,3.000000000000000000e+01
6.100000000000000000e+01,9.729170485712030825e+01,4.475000000000000000e+01,3.000000000000000000e+01
6.200000000000000000e+01,9.743449100662377305e+01,4.496999999999999886e+01,3.000000000000000000e+01
6.300000000000000000e+01,9.713703446399317443e+01,4.535999999999999943e+01,3.000000000000000000e+01
6.400000000000000000e+01,9.742425043013020058e+01,4.552000000000000313e+01,3.000000000000000000e+01
6.500000000000000000e+01,9.747350406701409042e+01,4.575000000000000000e+01,3.000000000000000000e+01
6.600000000000000000e+01,9.739149395167930834e+01,4.603999999999999915e+01,3.000000000000000000e+01
6.700000000000000000e+01,9.725222815385225772e+01,4.635999999999999943e+01,3.000000000000000000e+01
6.800000000000000000e+01,9.711699594897503118e+01,4.667999999999999972e+01,3.000000000000000000e+01
6.900000000000000000e+01,9.765965791719865763e+01,4.671000000000000085e+01,3.000000000000000000e+01
7.000000000000000000e+01,9.749527429527329048e+01,4.700000000000000000e+01,3.000000000000000000e+01
7.100000000000000000e+01,9.732747425481892378e+01,4.732000000000000028e+01,3.000000000000000000e+01
7.200000000000000000e+01,9.792329390768648523e+01,4.732000000000000028e+01,3.000000000000000000e+01
7.300000000000000000e+01,9.763939368389627305e+01,4.764999999999999858e+01,3.000000000000000000e+01
7.400000000000000000e+01,9.763237709769271078e+01,4.789999999999999858e+01,3.000000000000000000e+01
7.500000000000000000e+01,9.788567996819978134e+01,4.803000000000000114e+01,3.000000000000000000e+01
7.600000000000000000e+01,9.778924594627723366e+01,4.828999999999999915e+01,3.000000000000000000e+01
7.700000000000000000e+01,9.758295640089265532e+01,4.860999999999999943e+01,3.000000000000000000e+01
7.800000000000000000e+01,9.736848706135243958e+01,4.893999999999999773e+01,3.000000000000000000e+01
7.900000000000000000e+01,9.717586609574925660e+01,4.925999999999999801e+01,3.000000000000000000e+01
8.000000000000000000e+01,9.728057483751803147e+01,4.945000000000000284e+01,3.000000000000000000e+01
8.100000000000000000e+01,9.741033546375686569e+01,4.960999999999999943e+01,3.000000000000000000e+01
8.200000000000000000e+01,9.721637187777133704e+01,4.989999999999999858e+01,3.000000000000000000e+01
8.300000000000000000e+01,9.712688439612952607e+01,5.015999999999999659e+01,3.000000000000000000e+01
8.400000000000000000e+01,9.740323088194882928e+01,5.025999999999999801e+01,3.000000000000000000e+01
8.500000000000000000e+01,9.717749500406219454e+01,5.054999999999999716e+01,3.000000000000000000e+01
8.600000000000000000e+01,9.761444790150623874e+01,5.057999999999999829e+01,3.000000000000000000e+01
8.700000000000000000e+01,9.735916812373288565e+01,5.086999999999999744e+01,3.000000000000000000e+01
8.800000000000000000e+01,9.710238016234738723e+01,5.118999999999999773e+01,3.000000000000000000e+01
8.900000000000000000e+01,9.753923808557274810e+01,5.121999999999999886e+01,3.000000000000000000e+01
9.000000000000000000e+01,9.727114539232807999e+01,5.150999999999999801e+01,3.000000000000000000e+01
9.100000000000000000e+01,9.744869336763613887e+01,5.164000000000000057e+01,3.000000000000000000e+01
9.200000000000000000e+01,9.741387270748286653e+01,5.184000000000000341e+01,3.000000000000000000e+01
9.300000000000000000e+01,9.741651843958926804e+01,5.203000000000000114e+01,3.000000000000000000e+01
9.400000000000000000e+01,9.755494414148031979e+01,5.215999999999999659e+01,3.000000000000000000e+01
9.500000000000000000e+01,9.745885237287899372e+01,5.238000000000000256e+01,3.000000000000000000e+01
9.600000000000000000e+01,9.766790529386724984e+01,5.247999999999999687e+01,3.000000000000000000e+01
9.700000000000000000e+01,9.731988584924856411e+01,5.279999999999999716e+01,3.000000000000000000e+01
9.800000000000000000e+01,9.771600450773226498e+01,5.282999999999999829e+01,3.000000000000000000e+01
9.900000000000000000e+01,9.738817573988822573e+01,5.313000000000000256e+01,3.000000000000000000e+01
