t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,4.410000000000000142e+01,3.000000000000000000e+01
1.000000000000000000e+00,9.093797365336381233e+01,4.396999999999999886e+01,3.000000000000000000e+01
2.000000000000000000e+00,9.096130733652898925e+01,4.378000000000000114e+01,3.000000000000000000e+01
3.000000000000000000e+00,9.128909173754816209e+01,4.378000000000000114e+01,3.000000000000000000e+01
4.000000000000000000e+00,9.228353717734788120e+01,4.354999999999999716e+01,3.000000000000000000e+01
5.000000000000000000e+00,9.267728906755846197e+01,4.354999999999999716e+01,3.000000000000000000e+01
6.000000000000000000e+00,9.335031096086669322e+01,4.346000000000000085e+01,3.000000000000000000e+01
7.000000000000000000e+00,9.357757901614026252e+01,4.354999999999999716e+01,3.000000000000000000e+01
8.000000000000000000e+00,9.369303651507017605e+01,4.371000000000000085e+01,3.000000000000000000e+01
9.000000000000000000e+00,9.404509554069032617e+01,4.378000000000000114e+01,3.000000000000000000e+01
1.000000000000000000e+01,9.429936404891063262e+01,4.388000000000000256e+01,3.000000000000000000e+01
1.100000000000000000e+01,9.427629953727934264e+01,4.410000000000000142e+01,3.000000000000000000e+01
1.200000000000000000e+01,9.487797137142516135e+01,4.407000000000000028e+01,3.000000000000000000e+01
1.300000000000000000e+01,9.450851319828747421e+01,4.442000000000000171e+01,3.000000000000000000e+01
1.400000000000000000e+01,9.507235317546951592e+01,4.442000000000000171e+01,3.000000000000000000e+01
1.500000000000000000e+01,9.475753852248834619e+01,4.475000000000000000e+01,3.000000000000000000e+01
1.600000000000000000e+01,9.509899949100135075e+01,4.484000000000000341e+01,3.000000000000000000e+01
1.700000000000000000e+01,9.504165477741275936e+01,4.507000000000000028e+01,3.000000000000000000e+01
1.800000000000000000e+01,9.494835209635421336e+01,4.532999999999999829e+01,3.000000000000000000e+01
1.900000000000000000e+01,9.526487849880567182e+01,4.542000000000000171e+01,3.000000000000000000e+01
2.000000000000000000e+01,9.505599653641385771e+01,4.571000000000000085e+01,3.000000000000000000e+01
2.100000000000000000e+01,9.542007616736650277e+01,4.578000000000000114e+01,3.000000000000000000e+01
2.200000000000000000e+01,9.527084079151791229e+01,4.603999999999999915e+01,3.000000000000000000e+01
2.300000000000000000e+01,9.503042423296909647e+01,4.635999999999999943e+01,3.000000000000000000e+01
2.400000000000000000e+01,9.535126914447047852e+01,4.645000000000000284e+01,3.000000000000000000e+01
2.500000000000000000e+01,9.527029859738546236e+01,4.667999999999999972e+01,3.000000000000000000e+01
2.600000000000000000e+01,9.501159022567790657e+01,4.700000000000000000e+01,3.000000000000000000e+01
2.700000000000000000e+01,9.536934932180345470e+01,4.707000000000000028e+01,3.000000000000000000e+01
2.800000000000000000e+01,9.522564738862547529e+01,4.732000000000000028e+01,3.000000000000000000e+01
2.900000000000000000e+01,9.510469571639166020e+01,4.757999999999999829e+01,3.000000000000000000e+01
